"","ID","condition","date","OS","learn_trial_n","chosen_door","reward","task_stim","catch_success","catch_rt","blue_val","red_val","yellow_val","purple_val","noise","catch_fail","optimal_choice","reward_list","chosen_door_num","ID_num","inverse_temperature","directed_exploration","perseveration","learning_rate","prediction_error"
"29","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",29,"red_door",65,"Scenes_paint/Baobab_Forest.jpg",0,NA,31.392,62.576,45.595,43.348,2.2339,NA,1,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.537893358973237,5.31445799119426
"30","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",30,"red_door",64,"Scenes_paint/Acropolis.jpg",0,NA,31.343,60.451,48.619,46.61,3.3983,NA,1,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.502585344654113,1.66157045135712
"31","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",31,"red_door",51,"Scenes_paint/Globe_Theatre.jpg",0,NA,31.94,57.901,51.484,45.052,-6.6304,NA,1,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.49398748867676,-11.957464934297
"32","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",32,"red_door",54,"Scenes_paint/Abu_Simbel_Egypt.jpg",0,NA,34.612,57.478,53.18,46.635,-3.5493,NA,1,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.49184863261103,-2.93499657995159
"33","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",33,"red_door",60,"Scenes_paint/Sydney_Bridge_1.jpg",0,NA,30.817,56.405,52.226,51.915,3.0958,NA,1,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491313746032753,4.59863680403195
"34","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",34,"red_door",58,"Scenes_paint/Cape_Town.jpg",0,NA,33.017,61.194,55.62,54.759,-3.4898,NA,1,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491179805172938,0.464899410600061
"35","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",35,"red_door",63,"Scenes_paint/Big_Ben_1.jpg",0,NA,34.584,60.687,59.701,56.583,2.0644,NA,1,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491146254020784,5.36387078525421
"36","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",36,"red_door",64,"Scenes_paint/Vatican_City_1.jpg",0,NA,34.009,59.404,62.01,54.405,4.7525,NA,0,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491137849022986,3.89786315985587
"37","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",37,"red_door",61,"Scenes_paint/Met_Museum.jpg",0,NA,36.786,58.021,59.485,52.44,3.0017,NA,0,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491135743418778,-0.819453958782191
"38","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",38,"red_door",56,"Scenes_paint/Angkor_Wat_1.jpg",0,NA,36.164,57.717,62.631,53.333,-1.5972,NA,0,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.49113521592405,-5.22975217993381
"39","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",39,"red_door",56,"Scenes_paint/Kerala_Eagle_Statue.jpg",0,NA,33.597,58.966,60.013,55.536,-2.6415,NA,0,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.49113508377621,-2.51919243170622
"40","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",40,"red_door",62,"Scenes_paint/NASCAR_track.jpg",0,NA,33.126,62.921,63.663,50.855,-0.60136,NA,0,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491135050670557,4.83749498407788
"41","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",41,"red_door",61,"Scenes_paint/Chimney_Rock.jpg",0,NA,34.505,61.546,61.969,52.062,-0.94825,NA,0,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491135042376935,1.61806088105897
"42","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",42,"red_door",58,"Scenes_paint/Zion_National_Park.jpg",0,NA,27.4,55.856,64.688,51.801,2.2781,NA,0,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491135040299217,-2.0097288598278
"43","55ea70c37480920010aa9982","imperative","2022-01-04_10h56.08.575","Win32",43,"red_door",56,"Scenes_paint/Venice_1.jpg",0,NA,25.217,54.707,63.344,46.196,0.81623,NA,0,3,1,1,0.165250501455611,0.012309249861754,0.822098570914142,0.491135039778708,-2.87470863350342
